frequency,angle,chord_length,velocity,thickness,sound_pressure_level
800.0,7.3,0.2286,31.7,0.0132672,123.209
1250.0,15.4,0.0508,39.6,0.0282593,126.743
400.0,2.0,0.2286,71.3,0.00293031,125.116
315.0,9.9,0.1524,31.7,0.0252785,128.809
3150.0,4.8,0.0254,55.5,0.000873218,132.35399999999998
1000.0,4.0,0.2286,55.5,0.0042861999999999996,132.134
4000.0,3.0,0.3048,55.5,0.00452492,118.689
2000.0,0.0,0.2286,71.3,0.00214345,128.244
800.0,4.0,0.2286,55.5,0.0042861999999999996,131.864
500.0,8.4,0.0508,39.6,0.00566229,122.905
630.0,9.5,0.0254,39.6,0.00449821,126.514
8000.0,2.7,0.1524,39.6,0.00294804,116.65899999999999
12500.0,0.0,0.2286,71.3,0.00214345,117.624
2500.0,0.0,0.3048,31.7,0.00331266,120.755
630.0,2.0,0.2286,39.6,0.00346574,127.417
10000.0,0.0,0.1524,39.6,0.00193287,115.413
1600.0,9.5,0.0254,55.5,0.0043284,133.062
2000.0,12.3,0.1016,39.6,0.0408268,114.085
3150.0,12.3,0.1016,31.7,0.0418756,110.307
315.0,0.0,0.2286,39.6,0.00253511,121.055
315.0,12.3,0.1016,31.7,0.0418756,124.71700000000001
400.0,4.0,0.2286,31.7,0.00509068,126.149
5000.0,4.0,0.3048,39.6,0.00579636,113.73299999999999
315.0,19.7,0.0508,39.6,0.036483999999999996,129.864
500.0,12.3,0.1016,39.6,0.0408268,122.205
630.0,9.5,0.0254,31.7,0.00461377,129.006
2500.0,3.0,0.3048,71.3,0.00425727,124.024
200.0,7.3,0.2286,31.7,0.0132672,128.679
8000.0,0.0,0.2286,71.3,0.00214345,118.024
1600.0,0.0,0.1016,71.3,0.00121072,131.725
1250.0,4.0,0.3048,71.3,0.00497773,129.395
6300.0,2.0,0.2286,39.6,0.00346574,116.417
3150.0,4.0,0.2286,31.7,0.00509068,120.229
10000.0,4.0,0.3048,71.3,0.00497773,110.905
800.0,9.5,0.0254,55.5,0.0043284,128.082
630.0,3.0,0.3048,71.3,0.00425727,129.35399999999998
10000.0,2.7,0.1524,71.3,0.00243851,116.72399999999999
200.0,17.4,0.0254,39.6,0.0172206,114.044
1250.0,5.4,0.1524,55.5,0.00433288,130.77700000000002
1250.0,9.9,0.1524,39.6,0.0233328,120.555
1000.0,3.0,0.3048,39.6,0.00495741,128.312
5000.0,4.0,0.2286,31.7,0.00509068,115.969
250.0,15.4,0.0508,39.6,0.0282593,122.89299999999999
4000.0,5.4,0.1524,71.3,0.00401199,121.431
3150.0,2.0,0.2286,39.6,0.00346574,121.62700000000001
2500.0,12.7,0.0254,71.3,0.012180799999999999,134.058
500.0,15.4,0.0508,71.3,0.0264269,127.285
800.0,15.4,0.0508,71.3,0.0264269,131.515
4000.0,4.0,0.3048,71.3,0.00497773,119.535
800.0,8.9,0.1016,71.3,0.0103088,137.813
2000.0,5.4,0.1524,71.3,0.00401199,131.111
4000.0,3.3,0.1016,31.7,0.00251435,124.852
400.0,4.0,0.3048,71.3,0.00497773,129.575
1000.0,9.9,0.1524,55.5,0.0208438,124.665
2000.0,12.6,0.1524,39.6,0.058411300000000006,109.52
8000.0,1.5,0.3048,71.3,0.00336729,115.37200000000001
250.0,15.4,0.0508,31.7,0.028985300000000002,121.225
1600.0,0.0,0.3048,39.6,0.00310138,124.04899999999999
10000.0,3.3,0.1016,71.3,0.00202822,116.694
1600.0,2.0,0.2286,39.6,0.00346574,125.837
800.0,9.9,0.1524,71.3,0.019300099999999997,128.879
2500.0,4.0,0.2286,71.3,0.00400603,124.338
400.0,22.2,0.0254,39.6,0.022902799999999997,123.416
630.0,7.3,0.2286,39.6,0.0123481,128.929
5000.0,0.0,0.2286,71.3,0.00214345,124.304
250.0,15.4,0.0508,55.5,0.0271925,124.17
5000.0,15.6,0.1016,39.6,0.0528487,106.22399999999999
1600.0,4.0,0.2286,55.5,0.0042861999999999996,128.264
2500.0,3.0,0.3048,55.5,0.00452492,122.439
8000.0,22.2,0.0254,71.3,0.0214178,121.65700000000001
250.0,9.9,0.1524,39.6,0.0233328,128.335
8000.0,0.0,0.3048,31.7,0.00331266,110.515
8000.0,4.0,0.2286,71.3,0.00400603,112.848
2000.0,0.0,0.0508,31.7,0.000812164,133.01
1600.0,0.0,0.1524,31.7,0.00209405,130.817
5000.0,4.8,0.0254,39.6,0.000907475,135.42600000000002
2500.0,4.0,0.2286,39.6,0.00473801,119.649
3150.0,19.7,0.0508,71.3,0.034118300000000004,116.225
630.0,12.3,0.1016,39.6,0.0408268,121.315
